phones,frequency
f ɹ æ ŋ k l ɪ n,169
ə ɡ ɹ iː d,12
f ɹ iː d ə m,2
d ɔ t ə ɹ z,2
ɹ eɪ dʒ ɪ ŋ,2
m ɑ n s t ɹ ə s l ɪ,2
p ɪ ɹ s t,1
ɹ ɪ s t ɔ ɹ d,1
k ɑ n s ə ɹ t,18
s ʌ ŋ k ə n,4
l aɪ t h aʊ s,5
b ʊ l iː,4
d ɪ s t ə n s,12
m ɔ ɹ iː s,4
b ɔ l ɹ uː m,3
f ɪ l iː p eɪ,2
s t ɔ ɹ m d,1
m ɛ ɹ ɪ dʒ,2
p ɹ ə p oʊ z,1
h ʌ n t ə ɹ,3
l oʊ k ə l,3
ɡ æ s t ə n,8
k ə n s iː t ə d,1
s ə b æ s tʃ ə n,11
ɹ aɪ d ə ɹ,6
k ə n d ʌ k t ɪ ŋ,1
b ɹ eɪ v ɪ ŋ,1
d ɪ z æ s t ɹ ə s,1
k w ɪ l z,4
p uː f,1
h ʌ m p s,6
k ə n v ɪ n s,1
s w ɛ t ɪ ŋ,2
p æ n t ɪ ŋ,2
ʌ n ə v eɪ l ə b ə l,2
dʒ æ z m ə n,41
dʒ iː n iː,1
k eɪ p s,2
ɑ n ə ɹ,5
ɪ k s aɪ t ə d l iː,2
s t æ b d,1
ɛ m b ɹ eɪ s t,1
ə n n ɛ s ə s ɛ ɹ iː,1
aɪ ə ɹ n ɪ ŋ,2
m ɛ n d ɪ ŋ,3
ʃ ɹ iː k s,2
s t ɜː d iː,1
s ɜː v ə n t s,2
h aʊ s h oʊ l d,3
k ɹ uː ə l,8
æ n ə s t eɪ ʒ ə,2
s k ɹ iː tʃ t,2
m ɛ n d,2
ɹ oʊ z ɛ l ə,1
d ɪ m æ n d ə d,1
k l oʊ k,2
d w ɔ ɹ v z,12
k w ɪ k ɪ s t,2
m æ n ə dʒ,2
t ɹ oʊ l,7
s ə s p ɛ n d ə ɹ z,4
p ɑ s ə m z,4
d w ɔ ɹ f,3
ɹ ɪ d ə l,4
s ɑ l v,4
p æ t ɪ ŋ,15
h ɑ ɹ d ə s t,9
w eɪ d,7
l æ f t ə ɹ,5
ɹ iː ə ʃ ɜː ɪ ŋ l iː,2
ʒ ɑ k,8
ɪ k s t ɛ n d ə d,2
p ɜː l ə,8
b aʊ d,3
dʒ æ k s,3
ɡ l aɪ d ɪ ŋ,4
m uː v m ə n t s,3
k ɑ p iː d,2
dʒ æ k ɪ t s,10
s w aɪ p,9
t w ɜː l d,4
ɪ m æ dʒ ə n ɛ ɹ iː,3
b iː m ɪ ŋ,2
m ɜː m æ n,2
b ʊ k s t ɔ ɹ,15
t ɹ aɪ t ə n z,3
b ɹ iː,3
v æ l,3
h j uː m ə n z,1
ʃ ɪ p ɹ ɛ k,1
ɡ l æ n s ɪ ŋ,1
d ɹ ɑ m ə,2
ɛ n iː w ʌ n z,2
d æ n iː ɛ l,31
v ɜː s,3
m ɛ l ə d iː,4
f ɹ æ ŋ k l ə n z,25
t ɹ eɪ n ɪ ŋ,23
p ɹ æ k t ə s t,6
f oʊ t ə ɡ ɹ æ f,10
k ɑ n v ə ɹ s eɪ ʃ ə n,9
l aɪ d,1
f ɪ n,10
l ɛ p t,3
w ɪ ŋ k ɪ ŋ,2
ɹ ɪ k,3
ɛ ɹ ɪ k s,3
ɹ ɪ m eɪ n d,4
ɡ l ɪ m p s,2
t ɑ t ə d,5
t iː t ə ɹ d,5
w ɑ b ə l d,5
ɪ k s p l ɔ ɹ ə ɹ z,5
b ɪ k ʌ m ɪ ŋ,8
t ɛ d ɪ z,2
w ɛ ð ə ɹ z,4
æ ʃ ə z,35
d aɪ m,2
n uː t ɹ ɪ ʃ ə n ə l iː,1
b ɹ ɛ k f ə s t s,2
b w eɪ n oʊ s,3
ɡ ə s p ɑ tʃ oʊ,7
k ə n eɪ d iː ə n,9
iː s ə,1
v ɪ z ɪ t ɪ ŋ,18
d aɪ æ n ə,1
ɡ aɪ d ə d,4
p ɛ d ə l d,3
ə n ʃ ʊ ɹ,3
ə n s t ɛ d iː,3
t aɪ l,7
s t ɹ ʌ ɡ ə l ɪ ŋ,3
ɹ ʌ ŋ,1
b æ dʒ ə ɹ,17
n æ n s iː z,6
d ɛ n t,1
s m ɑ ɹ t iː,3
ɛ v ə n,22
k æ m k ɔ ɹ d ə ɹ,1
s t æ t ɪ k,1
ɪ k l ɪ p s t,1
d ɛ n t ɪ s t s,8
s k ɪ n iː ə ɹ,3
ɡ ɹ æ n ə ɹ ɪ,4
s ɪ m b ə l z,8
k æ s t ə n ɛ t s,1
b ɪ k iː n iː,1
s t ɔ ɹ iː t ɛ l ə ɹ,5
ɛ l t ə n,1
s ɪ m p l iː,11
h aɪ d aʊ t,2
ɹ ɛ k ə m ɛ n d,2
m ɪ s t ə ɹ iː z,1
s k ɑ t,3
tʃ æ t ɪ ŋ,2
ɪ n ə s ə n t,4
p ɹ ə z uː m d,3
f ɹ ɛ d ɹ ɪ k s,2
ɹ ɛ k ə m ə n d eɪ ʃ ə n z,1
ʃ aɪ l iː,2
k ɑ b w ɛ b,2
f ɹ uː t iː,2
ɑ p s,1
m ə n aɪ ə k ə l,1
ɡ ʌ m iː,1
t oʊ d s t uː l z,3
f ɔ ɹ ə s t s,6
v ə ɹ aɪ ə t iː,4
ə s t ɑ n ɪ ʃ ɪ ŋ,1
f ʌ n dʒ aɪ,3
d ʌ ŋ,3
θ ɹ ɛ d z,4
d ɛ b,4
t ɹ ʌ ŋ k s,5
p eɪ ʃ ə n t s,9
ʌ d ə ə ɹ,4
ɡ ɪ l z,1
p ɔɪ z ə n ə s,2
d ɪ m iː n ə ɹ,1
b aɪ ɔ n ɪ k,4
ə l ɜː dʒ ɪ k,9
l iː ɡ,4
f ɪ k t ɪ ʃ ə s,1
k ɹ ɪ m z ə n,1
f ʌ ŋ ɡ ə s,2
n æ s t iː,3
k ɑ m ə n t ɛ ɹ iː,1
k ɜː b,2
m ɛ ɹ ə l ə n d,9
t eɪ b ə ɹ,2
tʃ æ n t ə ɹ ɛ l,1
p æ d ɪ ŋ,3
p æ ɹ ə s ɑ l,2
s ɜː f ə ɹ,5
v ɪ ɹ,2
s t ɹ ʌ ŋ,2
w ɛ b z,10
θ ɹ ɪ l d,6
s ɛ n d ɪ ŋ,6
f j uː n ə ɹ ə l,1
æ k tʃ ə w ə l,7
b ɹ ʌ n tʃ,1
n ɛ k t ə ɹ,13
æ ŋ ɡ l ə ɹ,13
h æ l ə p iː n j oʊ,2
s p aɪ s,5
m ɑ ɹ l ə n,4
ɡ ɪ l,7
t æ d iː,2
dʒ ɜː n ə l ə s t,1
f aɪ ə ɹ f l aɪ,2
w eɪ dʒ,2
m ɪ n ə m ə m,8
ɛ ɹ iː ə z,2
dʒ ɑ b z,5
æ l iː,3
n oʊ t b ʊ k,6
b ɪ f ɔ ɹ h æ n d,1
b ʌ l b z,3
s ɪ p t,4
p iː ɹ ɪ ŋ,2
ɛ d ɡ ə ɹ,2
n ɑ v ə l,1
ɪ n d ɔ ɹ,5
ɡ eɪ z d,3
d aɪ m z,2
n ɪ k ə l z,1
ɪ k s p ɛ ɹ ə m ə n t s,1
s aɪ ə n s,7
ɪ l ɛ k ʃ ə n,5
æ n ɪ m oʊ n,22
l ɛ s ə n z,5
ɪ n ɡ ɹ iː d iː ə n t s,3
k ɜː l ɪ ŋ,3
k l ɪ ŋ ɪ ŋ,2
k l æ s ə z,6
p ɛ t ə l,2
b l oʊ t,33
m æ n ə f ɛ s t,1
ɪ v æ l j uː eɪ t ɪ ŋ,1
d ɜː m ə t ɑ l ə dʒ ɪ s t,1
ɹ ɛ k ə ɡ n aɪ z,27
l æ tʃ,1
f ɹ æ n s iː n,3
k ɑ m ɪ k s,2
h ʌ m ɪ ŋ,5
t æ l ə n t,3
l æ k t,1
s t ɪ ŋ ɪ ŋ,4
j uː s l ə s,4
d ɪ s t ə n s ə z,4
k oʊ l d ə ɹ,9
m ɑ n ɑ ɹ k,2
ɪ l ɛ k t,1
k l ʌ b h aʊ s,1
m ʌ f iː,1
ɪ ɡ z æ dʒ ə ɹ eɪ t s,1
dʒ eɪ s ə n z,1
h ɔɪ s t ə d,1
h uː p uː,1
m aɪ ɡ ɹ eɪ ʃ ə n,2
k æ n d ə d eɪ t s,1
k æ m p eɪ n,2
v oʊ t,4
ə f ɑ ɹ,1
b iː m d,1
p ɹ iː p ɛ ɹ ɪ ŋ,3
p oʊ s t ə ɹ,13
t ɹ eɪ d ɪ d,1
p ɹ uː n ɛ l ə,1
k aɪ n d n ə s,2
ʃ ɛ l t ə ɹ z,2
s k ɛ ɹ s,1
b ɪ k ʌ m z,6
s t ɑ k,5
t aɪ p ɹ aɪ t ə ɹ,1
f ɜː n,3
s p ɹ aʊ t,2
f ə ɹ ɡ ɛ t s,7
b eɪ l iː,1
tʃ ʌ m p,1
ɹ ɪ ɡ l ɪ ŋ,1
p ɹ ɪ m ɹ oʊ z,2
k ɑ n s t ə l eɪ ʃ ə n z,3
aɪ d ɛ n t ə f aɪ,2
w ɪ n ɪ f ɹ ɪ d,1
d ɹ ɪ ɹ iː,2
ɹ iː m aɪ n d ə ɹ,1
k æ m p eɪ n ɪ ŋ,1
s t ɔ ɹ m iː,3
m uː d iː,1
ɪ f ɛ k t s,2
s ɪ tʃ uː eɪ ʃ ə n z,1
v oʊ t s,3
ə n aʊ n s ɪ z,1
b ʌ d z,7
b iː f iː t ə ɹ,1
d eɪ l iː,2
b iː f iː t ə z,1
v aɪ s,1
b ʌ d,36
k ɜː n ə l,3
tʃ æ n ə l z,2
k ɜː n ə l z,3
s ɪ n s ɪ ɹ l iː,1
oʊ k,9
oʊ k s,1
ə n ɹ æ p ɪ ŋ,2
t ɹ ɪ m d,2
m æ n ɪ k j ə ɹ,1
f ɹ ɪ z ɪ,1
ʃ ɹ ɪ m p,9
m æ ɡ n ɪ f ə s ə n t,7
d ɪ s ɪ dʒ uː ə s,2
ʒ eɪ k,3
s k ɹ eɪ p,5
ɡ oʊ l,4
m æ n iː,6
ə p iː l,2
h ɑ ɹ m,2
k ə n ɛ k ʃ ə n z,1
w ʊ d l æ n d z,1
p ɑ ɹ k s,2
ɛ l ə ɡ ə n t,3
t eɪ l ə ɹ,2
θ iː ə d ɔ ɹ,1
k ə m iː l j ə z,1
eɪ p ɹ ə l,14
d ɪ s aɪ d z,4
d æ m p ə ɹ,1
s w oʊ l ə n,5
ɔ f ə ɹ z,3
w ɪ n t ə ɹ z,2
w ɔ ɹ m ɪ ŋ,5
ɡ ɹ oʊ n z,1
h oʊ s t ə s,1
b uː k eɪ,3
w ɛ l k ə m z,1
ə s ɪ s t ə n t,3
m oʊ l ə ɹ,3
f ɪ l ɪ ŋ z,1
s ə dʒ ɛ s tʃ ə n z,4
tʃ ɑ ɹ dʒ ɪ ŋ,1
h ɜː l,1
k ɔ ɹ,3
m aɪ n ɪ ŋ,1
k ɑ ɹ t uː n,1
s æ d ə s t,1
p ɜː k t,1
p eɪ ʃ ə n t l iː,2
s p ɹ æ ŋ,4
ɡ ʌ s t,2
s n æ p iː,1
ɪ ɡ z æ m ə n z,2
ɪ n f ɛ k t ɪ d,1
t ʊ ɹ z,1
m æ t ə ɹ z,1
k l ɔ θ s,5
w ɪ l oʊ,4
w iː p ɪ ŋ,2
h ɛ z ə t eɪ t ɪ ŋ,1
d æ m p n ɪ s,1
ə n f ɜː l d,1
s oʊ k,6
s aɪ ɪ ŋ,1
l ɛ dʒ,8
ɑ p ə ɹ t uː n ə t iː,6
f iː d ə ɹ,27
ɪ n s ɪ s t ə d,6
ɹ ɪ l ʌ k t ə n t,1
p ɹ ə t ɛ k t ɪ d,3
ɔ z w ɔ l d,1
b ɛ ɹ ə t,1
ɑ ɹ t ə s t s,1
s l æ k s,1
ɪ n dʒ ɛ k ʃ ə n z,1
ɛ n t ə ɹ z,3
ʃ ʌ t ɪ ŋ,3
s ə ɹ v aɪ v ɪ ŋ,1
l æ k,3
k oʊ p ɪ ŋ,1
θ ɔ t f ə l iː,1
h aɪ b ə ɹ n eɪ ʃ ə n,1
ə n b ʌ t ə n d,1
ɪ n s p aɪ ə ɹ d,3
s p ɪ l t,1
l ɑ l iː,17
s k ɛ tʃ,1
h ɛ dʒ h ɑ ɡ,4
t uː l ə p,18
m ɑ m ə t,2
w ɜː l ɪ ŋ,1
æ l p aɪ n,2
b ɜː oʊ z,1
m ɑ m ə t s,1
f l ʌ s t ə ɹ d,1
p ɹ ə t ɛ k t s,4
ɡ l oʊ ɪ ŋ,3
f l ɪ k,16
m aʊ n t ə n s aɪ d,1
p æ n z iː z,3
j uː ɛ l,1
d ɹ aʊ z iː,1
s ɔɪ l,9
p iː k ɪ,1
ə k ɑ m p l ə s,1
s ɛ n j ɔ ɹ iː t ə,1
k ɑ b w ɛ b z,5
k ɹ ʌ s t,17
ə f ɛ k ʃ ə n ə t,1
s oʊ d,3
t æ d p oʊ l,6
n ʌ z l d,1
m ɛ m ə ɹ aɪ z,2
ʃ ɔ ɹ t ə n d,2
ɪ n f ɛ k ʃ ə n,3
ʃ ɔ ɹ t ə n,1
s ʌ n f l aʊ ə ɹ z,5
s p ɑ n,1
m uː v ə ɹ z,1
f l ʌ ŋ k,1
s p uː k iː,5
l ɑ ɹ dʒ ə s t,17
m ɑ k oʊ,3
h ɑ ɹ d w ɛ ɹ,3
tʃ ʌ m,4
n uː t s,1
ɹ eɪ n d,3
t æ d p oʊ l z,3
h ɛ l ə n,1
ɪ k s k l eɪ m z,1
ɪ k s p l eɪ n z,1
b ɹ uː m s t ɪ k,2
k ɑ l d ɹ ə n,8
b ɹ uː m s t ɪ k s,3
k ɔ l d ɹ ə n z,1
w ɪ tʃ ə z,11
d ɔ ɹ iː,5
ə d ɪ ʃ ə n,4
h ɜː iː z,4
ɹ ɛ s k j uː z,1
p ə ɹ m ɪ ʃ ə n,3
d ɹ ɔ n,5
s k ɹ iː m z,2
d iː ə z,7
ɪ n t ɹ ə d uː s,3
h ə w aɪ iː,3
aɪ l ə n d z,4
ɔ s t ɹ eɪ l j ə,5
ɹ iː f,7
b æ ɹ iː ə ɹ,2
p j uː p ə,1
ɹ oʊ z m ɛ ɹ iː,4
h ɪ tʃ,3
s p ɹ ɪ ŋ t aɪ m,2
k l ɛ ɹ ə f aɪ,1
t ɛ n t ə k ə l z,3
p ɹ ɪ k l iː,4
ɪ k s t ɛ n d z,1
m ɑ t s ə ɹ ɛ l ə,2
p ɹ aʊ l ɪ ŋ,3
p æ n θ ə ɹ z,1
k ɹ eɪ p s,2
ʃ æ m p eɪ n,1
f l ʌ t ə ɹ d,2
b ɹ ɔ d k æ s t ɪ ŋ,2
ɹ ɪ p ɔ ɹ t ə ɹ z,2
ɡ ɹ aʊ t,2
ɛ s,4
h ɔ ɹ d,1
æ k t ə ɹ z,1
k ɑ s t uː m z,18
b ɑ s,7
t ɛ n d ə ɹ l iː,2
f iː s t,4
k ɔ f t,3
ɹ oʊ m æ n t ɪ k,6
ɹ ə k ɔ ɹ d ɪ ŋ,66
ʃ ɛ l d ə n,5
k æ m ə ɹ ə z,4
s p ɑ t l aɪ t s,1
w ʊ d k ɑ k,10
h oʊ m ɡ ɹ oʊ n,1
ɹ ɛ d w ʊ d,2
k ɑ d,24
k eɪ p,33
t uː t s,4
dʒ æ n j uː ɛ ɹ iː,25
ɹ iː d uː,1
s t ɪ ŋ ɹ eɪ z,3
k j uː,1
m aɪ k s,2
p ɹ ə f ɜː d,2
d ɛ l ə k ə t,7
h ɑ ɹ d ə n d,1
b iː t ə l z,3
d ɛ v ə l z,1
p ɹ ɪ z ɛ n t ɪ ŋ,4
k ɑ k tʃ eɪ f ə ə ɹ,1
oʊ eɪ s ɪ s,2
ɡ ɹ eɪ t ə s t,4
p ɪ ɹ ə m ɪ d z,4
iː dʒ ə p t,9
θ aʊ z ə n d z,6
b ɜː oʊ ɪ ŋ,1
k ɑ l ə n iː z,1
k ɑ l ə n iː,2
m iː n t aɪ m,3
s ɑ l ə m ə n,2
p ə s ɪ f ɪ k,6
dʒ æ n ə t ə ɹ,2
ɡ æ ð ə ɹ z,1
k ə n ɡ ɹ æ tʃ ə l eɪ t,1
tʃ ɪ ɹ z,5
h ɪ l ɛ ɹ iː ə s,2
p ʊ d z,6
ɹ æ p ə ɹ z,1
æ l p s,2
p ɛ ɹ ə ʃ uː t ɪ ŋ,5
s k ɛ ɹ iː ə ɹ,2
ɹ ɪ m ɛ m b ə ɹ z,4
ɹ iː s p ɑ n s ə b ɪ l ə t iː z,4
s ɔɪ,57
s p ɛ k t ə k ə l,5
j ɜː iː,1
l uː iː s,2
p eɪ k oʊ,2
h oʊ z eɪ,2
p ɑ b l oʊ,2
s p eɪ n,4
b ʊ l z,2
m æ t ə d ɔ ɹ,2
s ɪ n ə m ə,3
oʊ p ə n ɪ ŋ z,6
p ɑ n d z,1
æ n t ɑ ɹ k t ɪ k ə,2
ɑ ɡ ə s t,23
b ɹ aɪ t l iː,4
aʊ t s t ɹ ɛ tʃ t,1
s ɛ n t ɪ d,1
ə t ɹ æ k t ɪ d,1
s ɪ ɡ,1
oʊ n z,4
p l ʌ m ɪ ŋ,3
p ɹ ə s k ɹ aɪ b,1
t ɜː b ə n,6
p ɛ ɹ ɪ s,10
l iː ɑ n ə,2
aɪ f ə l,6
m oʊ n ə,5
f l ɛ ʃ,1
d ɪ ɹ ə s t,3
s l ɪ ð ə ɹ,6
ɹ ʌ,5
ɹ æ ɡ ə d iː,1
n ɑ n p ə ɹ ə l,1
s l aɪ m,10
m æ tʃ m eɪ k ə ɹ z,2
h ɔ ɹ ə f aɪ ɪ ŋ,2
ɛ n iː θ ɪ ŋ z,1
n oʊ v ɛ m b ə ɹ,16
s oʊ l ə ɹ,14
ɪ k s k l eɪ m,1
æ d v aɪ s,7
m æ tʃ m eɪ k ɪ ŋ,1
b æ t ə ɹ,12
w ɔ t ə ɹ p ɹ uː f,1
k ɔ ɹ k,3
h ɛ d b æ n d,2
p ɛ b ə l z,1
ɹ ɛ s ə l,4
ɹ ɛ s l ɪ ŋ,2
ɡ ɹ æ dʒ ə w ə t,3
ə p l aɪ d,2
p ɹ iː v iː ə s l iː,1
n oʊ w ɛ ɹ,6
ɛ ɹ ə m æ t ɪ k,1
θ æ ŋ k f ə l iː,1
s ə b m ɪ t,2
s t æ n l iː,1
t ə m ɑ ɹ ə,1
s t æ n d ə ɹ d aɪ z d,1
æ s t ɹ ə n ɑ m ɪ k l iː,1
s ə b æ s tʃ ə n z,1
f ɔ ɹ m æ t,3
ɹ oʊ ɪ ŋ,5
k ɑ n tʃ,2
k ɑ k ə l,2
h ɑ l iː z,1
ɔɪ s t ə ɹ z,1
æ n ə l ɪ t ɪ k ə l,1
v ɜː b ə l,1
w ɛ l tʃ ɪ z,1
w iː h ɔ k ə n,1
d eɪ t ə n,2
l ɪ s ə n ə ɹ,1
s w aɪ p t,1
d ɹ eɪ k,1
w ɪ tʃ ə t ɔ,1
s eɪ n t,4
t ɹ ʌ b ə l d,1
h uː l,6
s aɪ d k ɪ k,1
f l ɑ k t,1
f oʊ k s,2
s æ d ə ɹ,1
k ɑ ɹ t uː n z,1
h ɑ ɹ v ə s t,6
t aɪ m ɪ ŋ,3
t ɑ n s ə l z,1
h ɑ ɹ v ə s t ɪ d,4
k ɹ ɑ p s,6
h ɑ ɹ v ə s t ə ɹ z,2
k ɑ m b aɪ n,2
ɹ aɪ,5
oʊ t s,1
b ʊ l iː z,1
tʃ ɛ k t,32
h aɪ d aʊ t s,1
s t ɔ k,1
k ɹ ɑ p,4
t ɛ n d,5
k l oʊ v ə z,1
d eɪ l aɪ t,7
t ɛ n t s,2
f l æ ɡ z,4
s t ɪ k ɪ n ɪ s,1
p ə l iː s m ɪ n,3
k l aɪ m ə t s,1
w ʊ l v z,2
ɔ ɹ tʃ ə ɹ d,3
w ɪ z,4
k ɑ b z,8
t ɹ æ m p t,3
ɔ l z,1
f ɹ ɛ k ə l,10
s ɑ p ɪ ŋ,1
p l æ n d,7
m j uː z d,2
p ɹ oʊ v ə n s,6
n ɜː s ə z,21
w eɪ ɪ ŋ,6
s l ɪ p ɪ,3
ɑ m iː,2
s k ɹ eɪ p ə ɹ z,1
w ɪ m,3
k j uː m j ʊ l oʊ n ɪ m b ə s,2
w ɪ m z,2
k j uː m j ʊ l ə s,2
f ɹ æ ŋ k ə n s t aɪ n,1
n ə p ɔ l,3
h aɪ ə s t,3
ə n aʊ n s m ə n t,2
f aɪ l ɪ ŋ,2
ɪ n v aɪ t ɪ ŋ,2
f aɪ l,4
h aɪ k t,3
ə d m ɪ t ɪ d,2
h oʊ m s ɪ k,5
k ə n t ɹ oʊ l ə ɹ z,1
h æ m ə k,7
f ɪ s t,1
h æ m p ʃ ə ɹ z,2
ɪ n k l uː d,5
t ɪ p ə k ə l,3
k ɹ ɪ s p,2
w ɜː l d z,2
s t ɔ ɹ ɹ uː m,1
l aɪ l æ k,2
f ɑ s n z,1
p ʌ m p s,1
k ə n s ɜː n,1
j uː ɹ ə n ə s,10
n ɛ p t uː n,15
k ɔ n d,3
s k uː l j ɑ ɹ d,2
ɛ m f ə s aɪ z d,1
s ɛ ɹ ə m oʊ n iː,4
v iː n ə s,14
ə l ɑ ɹ m d,2
l ɑ b iː,1
ɪ l ɛ v ə n θ,10
n eɪ ʃ ə n z,2
m aɪ l z,13
t ɹ ɪ l j ə n,1
ʃ ɑ k w eɪ v z,1
b ɪ l j ə n,1
ʃ ɹ æ ŋ k,2
l ɪ b ə ɹ t iː,8
ɔ ɹ b ə t s,1
s ɜː k j ə l ə ɹ,1
ɹ ʌ f l iː,4
f ɔ ɹ m d,3
p ɑ ɹ t ə k ə l z,4
p iː l z,5
s k w ɔ k s,1
m ɔ ɹ n ɪ ŋ z,2
dʒ iː n j ə s,2
s k æ n,2
d ɪ z ɜː t s,1
k ə n v eɪ ə ɹ,1
s t ɪ ŋ,17
ɹ ɪ l iː v d,4
ə ɹ aɪ v z,1
ɡ æ s ə z,2
h iː l iː ə m,3
h aɪ d ɹ ə dʒ ə n,4
ɡ ɹ uː m,1
ɜː v ɪ ŋ,1
ɛ n æ k t ə d,1
m ɪ d iː v ə l,2
m ɛ t ɹ ə p ɑ l ə t ə n,2
t ɹ æ v ə l z,6
w ɑ ʃ iː,1
s p ɪ n z,2
ɑ ɹ k iː ɑ l ə dʒ ɪ s t,2
m ɜː k j ə ɹ iː z,2
ɡ l eɪ ʃ ə ɹ z,5
ə n j uː ʒ uː ə l,5
f ɛ s t ə v ə l z,1
n uː l iː w ɛ d z,1
w ɪ s k ɪ ŋ,6
t ɛ m p ɹ ə tʃ ə ɹ z,2
æ t m ə s f ɪ ɹ,5
m ʌ t ə ɹ d,4
ɡ ʌ l p t,2
p l aʊ z,1
h ʌ n iː m uː n,1
k ɔ ɹ ə d ə ɹ,1
ɹ ɪ l ʌ k t ə n t l iː,1
b oʊ n iː,1
s ʌ ð ə ɹ n,1
h ʌ n d ɹ ə d z,4
ɹ ɑ k ə t s,2
w aɪ l d l aɪ f,3
dʒ oʊ k s,3
ɪ dʒ ɪ p ʃ ə n,2
k ə m iː l j ə,1
h ɪ p s,4
t uː m,1
s t ɪ k iː ə s t,2
m ə k æ n ɪ k,4
θ ɔ ɹ n,7
d ɛ n t s,1
d ɛ n s,3
θ ɹ æ ʃ ə ɹ,1
d ɑ l ɪ z,8
tʃ ɛ ɹ ə k iː,1
ɹ eɪ z ə z,2
h aɪ d ɹ ɔ l ɪ k,1
æ t l æ n t ə,1
k æ p ə t ə l,6
s p l æ ʃ iː,4
æ p ə l eɪ tʃ ə n,1
ɛ k s ɛ s,2
l oʊ d z,6
ɜː θ s,7
iː l,13
l ɪ k w ə d z,2
ə k ɔ ɹ d ɪ ŋ,3
b ɔ ɹ d ə ɹ,7
w ɛ s t ə ɹ n,2
w aɪ n d ɪ ŋ,1
f ɔ ɹ m z,4
dʒ æ k s ə n,2
ə b j uː s,2
m ɑ k ɪ ŋ,2
m ɑ n j uː m ə n t,1
n æ ʃ ə n ə l,3
s w ɛ t iː,6
b ʌ b l iː,1
l iː n ə,1
f ɪ n ɪ ʃ ɪ ŋ,7
d ɛ n v ə ɹ,2
ɹ ɪ m eɪ n z,1
k ʌ l tʃ ə ɹ z,2
ə p ɹ iː ʃ iː eɪ ʃ ə n,1
k ə m p j uː t ə ɹ z,2
ɪ n v aɪ t s,1
j oʊ s ɛ m ɪ t iː,2
f l oʊ d,4
θ ɪ k ə ɹ,4
ɹ ɪ v ə b ɛ d z,1
p ɹ oʊ b z,1
ɪ k w eɪ t ə ɹ,2
s aɪ ə n t ɪ s t s,3
n iː t ə s t,2
aɪ l æ ʃ,6
h uː t s,2
dʒ ɛ n iː,16
s oʊ dʒ ə ɹ n ə ɹ,3
æ s t ə ɹ ɔɪ d,8
l oʊ k eɪ t ə d,1
dʒ ɛ l oʊ z,1
ɹ iː m aɪ n d ɪ ŋ,7
ɪ n d ɛ k s,19
f ɔ ɹ k s,9
f ɹ æ ɡ m ə n t,1
t ɔ ɹ m ɛ n t ɪ d,1
s w iː t n ə s,1
k ɑ m p ɹ ɛ s,1
f ɪ b d,1
ɹ oʊ t eɪ ʃ ə n,1
d ɪ s t ɜː b ə n s,1
k oʊ s t,5
l aɪ t h aʊ s ɪ z,1
aɪ oʊ,4
dʒ uː p ə t ə ɹ z,3
l ɑ b s t ə ɹ z,2
j ʊ ɹ oʊ p ə,4
ɡ æ n ə m iː d,4
k uː n,2
θ ʌ m z,9
p ɪ ŋ k ɪ z,3
l ʌ ŋ,1
h æ k ɪ ŋ,2
s uː z ə n,1
t ɛ l ə s k oʊ p s,1
t iː k ʌ p,11
h eɪ z iː,1
b ɔ l t ə m ɔ ɹ,8
ɡ eɪ dʒ ɪ ŋ,1
m æ m ə θ,19
s t ɪ ɹ d,3
d ɪ s t ə n t,2
p æ s ə dʒ ə z,1
s p l ʌ t ə d,1
n ɪ k n eɪ m d,1
b l uː ɡ ɹ æ s,1
iː v,13
f ɹ æ ŋ k f ə ɹ t,1
d ɪ k s iː,3
ɹ ɛ n,6
dʒ ʌ s t ə n,1
ɹ ɔ l,1
ɡ ɑ ɡ ə l z,12
ɹ ɪ z ɪ s t,5
ɪ ɹ ɪ z ɪ s t ə b ə l,1
n ʌ ɡ ɪ t,1
m ɪ t,2
ɹ ʌ s,2
h ɪ t s,5
t æ k s iː z,3
æ l ɛ ɡ z æ n d ɹ ə,1
s k ɹ æ p b ʊ k,1
ɹ ɪ t aɪ ɹ d,1
ə n ɹ æ p,3
k ə n s ɜː t ə d,1
ɑ m ə n d,82
n eɪ ʃ ə n,3
t w ʌ z,5
p ə k ɑ n,5
k ɹ eɪ,1
s n ʌ ɡ,4
n ɛ s ə l d,1
t ɔ ɹ t ə s ə z,5
v ɪ ʒ ə n z,1
j ɪ p iː,8
h ɜː iː ɪ ŋ,1
ɹ ɛ l ə t ɪ v z,2
s ɪ l v ə ɹ w ɛ ɹ,10
p ɔ l ə,1
d ɑ n iː,1
ɹ ɪ k iː,1
b ɹ ɛ n d ə,27
k æ θ iː,2
k eɪ s iː,1
b ɪ t ə n,2
æ l æ d ɪ n,15
s k ɪ t,9
p ɪ l ɡ ɹ ə m,2
t æ s k,1
k l ɛ v ə ɹ,16
s t eɪ t ɪ d,1
s ʌ l t ə n z,1
s ʌ l t ə n,1
d ɔ s,5
f ɔ ɹ s,4
s t ɹ aɪ d z,2
s ə ɹ aʊ n d ɪ ŋ,2
s iː s,1
ʌ ŋ k ə l z,1
l ɛ ð ə ɹ,5
n ɔ ɹ m,3
ə s ɛ m b ə l d,1
ɪ k s p ɪ ɹ iː ə n s t,1
h ə ɹ aɪ z ə n,6
